Question (Vietnamese),Translation (English)
Nếu tôi làm việc lâu năm thì số ngày nghỉ phép hàng năm có tăng lên khong ?,"If I work for a long time, will the number of annual leave days increase?"
Khi nào công ty có company trip?,When does the company have a company Trip?
Lương tháng 13 chắc chắn có không?,The 13th month salary is definitely available?
"Công ty có cung cấp những thiết bị văn phòng phẩm cho tôi khi làm việc không? Ví dụ: giấy ghi chú, pin máy tính, bút, ổ cắm sạc pin điện thoại...","Does the company provide me when I work at work? For example: note paper, computer battery, pen, phone battery charger ..."
"Tôi có thể lấy các thiết bị văn phòng phẩm (như bút, pin máy tính, giấy...) ở chỗ nào?","Where can I get stationery equipment (such as pens, computer batteries, paper ...)?"
Một người có thể dùng bao nhiêu màn hình máy tính?,How many computer screens can a person use?
Tôi có thể hỏi bạn cái gì?,What can I ask you?
Công ty có tăng lương mỗi 6 tháng không?,Does the company raise salary every 6 months?
Khi nào công ty review lương?,When does the company review salary?
Làm sao để tăng lương?,How to raise salary?
Tiêu chí nào để xét tăng lương?,What criteria to consider raising salary?
Công ty có tổ chức tiệc sinh nhật cho nhân viên không?,Does the company organize a birthday party for employees?
Công ty có thưởng sinh nhật cho nhân viên không?,Does the company have birthday rewards for employees?
Tôi có bao nhiêu ngày nghỉ phép mỗi năm?,How many days do I have every year?
Nếu tôi không dùng hết ngày nghỉ phép thì có được hoàn tiền hay để dành cho năm sau?,"If I do not use all the holidays, will it be refunded or for next year?"
"Vấn đề lương bổng, tôi có thể hỏi ai?","Salary problem, who can I ask?"
"Lương tôi ít hơn tháng trước, bạn biết tại sao không?","My salary is less than last month, you know why?"
Công ty có chế độ tiền thưởng sau mỗi dự án không?,Does the company have bonuses after each project?
Công ty có thưởng hàng tháng?,Does the company have monthly bonus?
"Tôi không có bug, tại sao không được thưởng?","I don't have bug, why not be rewarded?"
Chế độ thưởng dành cho lập trình viên,Reward mode for programmer
Chế độ thưởng dành cho kỹ sư hệ thống,Reward mode for system engineers
Chế độ thưởng dành cho QA,Reward mode for QA
Chế độ thưởng dành cho quản lý dự án,Reward mode for project management
Công ty có quà Tết không?,Does the company have Tet gifts?
Tôi được nghỉ Giáng sinh không?,Can I have Christmas?
"Tôi thi rớt, tôi có nợ công ty tiền không?","I failed, did I owe money company?"
"Tôi muốn học thêm, công ty có tài trợ tiền học?","I want to take extra classes, does the company sponsor tuition?"
Tôi phải nộp đơn xin nghỉ việc bao nhiêu ngày?,How many days do I have to apply for a resignation?
Ngày trả tiền lương mỗi tháng là bao nhiêu?,What is the monthly salary payment date?
Công ty có trả tiền OT không?,Does the company pay OT?
"Tôi làm ngày nghỉ, công ty có trả tiền OT như luật Nhà nước?","I work on holidays, does the company pay OT as the State Law?"
Công ty có ăn Tất niên không?,Does the company eat year -end?
Công ty có tặng quà sinh nhật cho nhân viên không?,Does the company give birthday gifts to employees?
Công ty có tài trợ chi phí học tiếng Anh cho nhân viên không?,Does the company sponsor English for employees?
"Máy tính tôi bị hư, tôi có thể liên hệ ai?","My computer is broken, who can I contact?"
"Máy tính tôi cũ và chậm, tôi có thể đổi máy mới không?","My computer is old and slow, can I change a new device?"
"Tôi không quen sử dụng Macbook, tôi có thể dùng máy tính Window không?","I am not used to using Macbook, can I use a Window computer?"
Tôi ngủ trưa ở đâu?,Where do I take a nap?
Công ty có bao ăn trưa không?,Does the company have lunch?
Công ty có đồng phục không?,Does the company have uniforms?
Công ty có trả tiền bảo hiểm không?,Does the company pay insurance?
Bảo hiểm bảo lãnh viện phí làm gì?,What is the hospital fee guarantee insurance?
Tôi có thể nhổ răng miễn phí không?,Can I free tooth extraction?
"Bệnh viện không chấp nhận bảo hiểm cùa tôi, tôi có thể liên hệ ai về vấn đề này?","The hospital does not accept my insurance, who can I contact this issue?"
"Lương tôi bị thiếu, tôi liên hệ ai đòi lại?","My salary is missing, who I contacted?"
"Tôi cần ứng dụng Adobe XD để xem thiết kế, tôi có thể yêu cầu mua ở đâu?","I need to apply Adobe XD to see the design, where can I ask to buy it?"
"Tôi không đăng nhập được Jira, tôi phải hỏi ai?","I can't log in Jira, who I have to ask?"
Công ty có gel rửa tay khô không?,Does the company have dry hand wash gel?
"Ghế của tôi bị hư, tôi lấy ghế mới ở đâu?","My chair was broken, where did I get a new chair?"
Tại sao tôi không chia sẻ file trên Teams được?,Why can't I share files on Teams?
"Tôi mới đổi giấy Căn cước công dân (CCCD), tôi nên gửi ai để cập nhật lại?","I just changed the Citizenship Code (CCCD), who should I send it to update?"
"Tôi mới sinh em bé, tôi có thể đăng ký người phụ thuộc trong giấy tờ với ai để giảm thuế?","I have just given birth to a baby, can I register the dependence in paperwork to reduce taxes?"
"Tôi có thai, có thể xin nghỉ phép thai sản được bao lâu?","I am pregnant, how long can I take maternity leave?"
Đàn ông có được nghỉ thai sản không?,Can men get maternity leave?
Nghỉ thai sản lấy được bao nhiêu lương?,How much salary is the maternity leave?
"Con tôi bị bệnh, tôi có thể nghỉ phép đưa con tôi đi khám được không?","Can my child get sick, can I leave my child to see a doctor?"
Giờ làm việc của công ty là mấy giờ?,What time is the company's working hours?
Công ty có cho Work From Home (WFH) không?,Does the company give work from Home (WFH)?
Công ty cho WFH được mấy ngày trong 1 tuần?,How many weeks for WFH for WFH in a week?
Làm sao để tôi được WFH?,How do I get WFH?
Ly ở khu vực công cộng có được rửa mỗi ngày không?,Can a glass in public areas wash every day?
"Tôi đổi xe, làm sao để đăng ký thông tin biển số xe mới để miễn phí gửi xe?","I change the car, how to register the new license plate information to free parking?"
Tôi không đi xe thì được hoàn số tiền gửi xe hàng tháng không?,"If I do not ride the car, is the monthly deposit?"
"Tôi mất thẻ gửi xe, tôi có thể liên hệ ai để làm lại?","I lost the parking card, who can I contact to do it again?"
"Người thân tôi mất, tôi có được nghỉ phép không?","My relatives died, can I take leave?"
"Tôi phải đón con tan trường, tôi được về sớm không?","I have to take my child to school, can I go home early?"
Tôi có thể xin đi làm trễ không?,Can I be late to work?
Tôi có thể mang máy tính về nhà không?,Can I bring a computer home?
Tôi có thể nộp đơn xin nghỉ phép ở đâu?,Where can I apply for leave?
"Tôi có thể liên hệ ai để tìm hiểu về thuế má, phúc lợi công ty?",Who can I contact to learn about taxes and company welfare?
"Nếu tôi giới thiệu người vào làm, công ty có chế độ thưởng không?","If I introduce people to work, does the company have a reward regime?"
